id,name,abbr,parent
888888888,učitelia,ucitel,
999999999,študenti,student,
73,Aplikovaná informatika,B-API,1
74,Automobilová elektronika,B-AUE,1
75,Elektronika,B-ELN,1
76,Elektrotechnika,B-ELT,1
77,Priemyselná informatika,B-PI,1
78,Telekomunikácie,B-TLK,1
79,Elektroenergetika,I-EE,2
80,Fyzikálne inžinierstvo,I-FI,2
81,Kybernetika,I-KYB,2
82,Meracia a informačná technika,I-MIT,2
83,Mikroelektronika,I-ME,2
84,Robotika,I-ROB,2
85,Rádioelektronika,I-RE,2
86,Telekomunikácie,I-TLK,2
359,Aplikovaná informatika,I-API,2
865,Aplikovaná mechatronika,I-APM,2
73000645,Bezpečnosť informačných systémov,B-API-BIS,73
73000646,Modelovanie a simulácia udalostných systémov,B-API-MASUS,73
73000647,IT v riadení a rozhodovaní,B-API-ITVR,73
73000649,IT v elektronike,B-API-ITVEL,73
730000003,3,B-API-3,73
740000001,1,B-AUE-1,74
740000002,2,B-AUE-2,74
740000003,3,B-AUE-3,74
750000001,1,B-ELN-1,75
750000002,2,B-ELN-2,75
750000003,3,B-ELN-3,75
760000001,1,B-ELT-1,76
760000002,2,B-ELT-2,76
760000003,3,B-ELT-3,76
770000001,1,B-PI-1,77
770000002,2,B-PI-2,77
770000003,3,B-PI-3,77
780000001,1,B-TLK-1,78
780000002,2,B-TLK-2,78
780000003,3,B-TLK-3,78
79000221,výroba a rozvod elektrickej energie,I-EE-VREE,79
79000223,jadrová energetika,I-EE-JE,79
79000225,svetelná technika,I-EE-ST,79
79000227,silnoprúdová elektrotechnika,I-EE-SE,79
800000001,1,I-FI-1,80
800000002,2,I-FI-2,80
810000001,1,I-KYB-1,81
810000002,2,I-KYB-2,81
820000002,2,I-MIT-2,82
830000001,1,I-ME-1,83
830000002,2,I-ME-2,83
840000001,1,I-ROB-1,84
840000002,2,I-ROB-2,84
850000001,1,I-RE-1,85
850000002,2,I-RE-2,85
860000001,1,I-TLK-1,86
860000002,2,I-TLK-2,86
35900642,Bezpečnosť informačných systémov,I-API-BIS,359
35900643,Modelovanie a simulácia udalostných systémov,I-API-MASUS,359
35900644,IT v riadení a rozhodovaní,I-API-ITVR,359
865000001,1,I-APM-1,865
865000002,2,I-APM-2,865
359006421,1,I-API-BIS-1,35900642
359006422,2,I-API-BIS-2,35900642
359006431,1,I-API-MASUS-1,35900643
359006432,2,I-API-MASUS-2,35900643
359006441,1,I-API-ITVR-1,35900644
359006442,2,I-API-ITVR-2,35900644
730006451,1,B-API-BIS-1,73000645
730006452,2,B-API-BIS-2,73000645
730006453,3,B-API-BIS-3,73000645
730006461,1,B-API-MASUS-1,73000646
730006462,2,B-API-MASUS-2,73000646
730006463,3,B-API-MASUS-3,73000646
730006471,1,B-API-ITVR-1,73000647
730006472,2,B-API-ITVR-2,73000647
730006473,3,B-API-ITVR-3,73000647
730006491,1,B-API-ITVEL-1,73000649
730006493,3,B-API-ITVEL-3,73000649
790002211,1,I-EE-VREE-1,79000221
790002212,2,I-EE-VREE-2,79000221
790002231,1,I-EE-JE-1,79000223
790002232,2,I-EE-JE-2,79000223
790002251,1,I-EE-ST-1,79000225
790002252,2,I-EE-ST-2,79000225
790002271,1,I-EE-SE-1,79000227
790002272,2,I-EE-SE-2,79000227
1,Bakalársky,B,999999999
2,Inžiniersky,I,999999999
